"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group10",53828.694566711
"Cell2","Cell2","Batch1","Group4",55603.7907798981
"Cell3","Cell3","Batch1","Group5",75673.2389496058
"Cell4","Cell4","Batch1","Group7",54561.6451437576
"Cell5","Cell5","Batch1","Group1",56363.1468111026
"Cell6","Cell6","Batch1","Group4",79084.6580182167
"Cell7","Cell7","Batch1","Group10",54724.7784303263
"Cell8","Cell8","Batch1","Group1",50547.5119673895
"Cell9","Cell9","Batch1","Group8",59483.1508755954
"Cell10","Cell10","Batch1","Group8",61719.3777331359
"Cell11","Cell11","Batch1","Group2",79448.0693092205
"Cell12","Cell12","Batch1","Group4",41607.8363913312
"Cell13","Cell13","Batch1","Group3",60598.1621597677
"Cell14","Cell14","Batch1","Group8",75794.6825006916
"Cell15","Cell15","Batch1","Group5",56206.7991662824
"Cell16","Cell16","Batch1","Group9",69725.4061848942
"Cell17","Cell17","Batch1","Group6",54368.0947620164
"Cell18","Cell18","Batch1","Group9",69675.1269189354
"Cell19","Cell19","Batch1","Group1",50816.8463468216
"Cell20","Cell20","Batch1","Group5",85545.726830926
"Cell21","Cell21","Batch1","Group9",64164.7617284855
"Cell22","Cell22","Batch1","Group1",65202.3099691886
"Cell23","Cell23","Batch1","Group4",46085.6381525065
"Cell24","Cell24","Batch1","Group8",58596.069204344
"Cell25","Cell25","Batch1","Group3",76804.8401136191
"Cell26","Cell26","Batch1","Group4",65485.3940098552
"Cell27","Cell27","Batch1","Group5",55427.5414390655
"Cell28","Cell28","Batch1","Group2",60557.0219389199
"Cell29","Cell29","Batch1","Group5",67312.1040054909
"Cell30","Cell30","Batch1","Group10",54735.6891676381
"Cell31","Cell31","Batch1","Group5",51203.1845362826
"Cell32","Cell32","Batch1","Group6",82397.9937409285
"Cell33","Cell33","Batch1","Group7",43020.6774131275
"Cell34","Cell34","Batch1","Group6",50529.6729816118
"Cell35","Cell35","Batch1","Group3",58341.5271288405
"Cell36","Cell36","Batch1","Group10",54655.3022489978
"Cell37","Cell37","Batch1","Group8",58935.7993686885
"Cell38","Cell38","Batch1","Group9",74475.3133943465
"Cell39","Cell39","Batch1","Group3",46862.9467288244
